,regnumber,regdate,shortcontent,formnamesed,actkind,acttheme
0,380,22.09.2022,О состоянии местного самоуправления и развитии муниципальных образований Пермского края в 2021 году,,Постановление,01.15.   Местное самоуправление
1,81-ПК,07.06.2022,"О внесении изменения в часть 3 статьи 4 Закона Пермского края ""О финансовом обеспечении в связи с отдельными видами преобразования муниципальных образований в Пермском крае""",,Закон,01.15.   Местное самоуправление
2,453-ПК,07.10.2019,"О внесении изменений в Закон Пермского края ""О финансовом обеспечении в связи с отдельными видами преобразования муниципальных образований в Пермском крае""",Подготовка аннотации - Вернер Мария Владимировна - 644806,Закон,01.15.   Местное самоуправление
3,389-ПК,06.11.2014,О статусе административного центра Пермского края,Закон 2414-14 от 2014-04-11,Закон,01.15.   Местное самоуправление
4,513-ПК,02.03.2020,Об образовании нового муниципального образования Частинский муниципальный округ Пермского края,Закон 333-20 от 2020-01-17,Закон,01.15.   Местное самоуправление
5,974,25.10.2013,О назначении членов конкурсной комиссии для проведения конкурса на замещение должности главы администрации Очерского муниципального района Пермского края,Постановление №5001-13 от 2013-08-08,Постановление,01.15.   Местное самоуправление
6,223-ПК,23.04.2018,О преобразовании Горнозаводского городского поселения в Горнозаводский городской округ,Закон 2469-18 от 2018-04-04,Закон,01.15.   Местное самоуправление
7,224-ПК,23.04.2018,О преобразовании Оханского городского поселения в Оханский городской округ,Закон 2647-18 от 2018-04-09,Закон,01.15.   Местное самоуправление
8,,,"О внесении изменений в Закон Пермского края ""О порядке формирования представительных органов муниципальных образований Пермского края и порядке избрания глав муниципальных образований Пермского края""",Закон 8656-16 от 2016-11-07,Закон,01.15.   Местное самоуправление
9,428-ПК,20.06.2019,Об образовании нового муниципального образования Уинский муниципальный округ Пермского края,Закон 4350-19 от 2019-06-10,Закон,01.15.   Местное самоуправление
10,,,Об образовании нового муниципального образования Александровский городской округ,Закон 3355-19 от 2019-04-30,Закон,01.15.   Местное самоуправление
11,424-ПК,20.06.2019,Об образовании нового муниципального образования Кочевский муниципальный округ Пермского края,Закон 4387-19 от 2019-06-10,Закон,01.15.   Местное самоуправление
12,235-ПК,28.05.2018,"О преобразовании поселений, входящих в состав Оханского муниципального района, путем объединения с Оханским городским округом и о внесении изменений в Закон Пермского края ""О преобразовании Оханского городского поселения в Оханский городской округ""",Закон 3546-18 от 2018-05-11,Закон,01.15.   Местное самоуправление
13,190-ПК,09.02.2018,О преобразовании Гремячинского городского поселения в Гремячинский городской округ,Закон 10353-17 от 2017-12-21,Закон,01.15.   Местное самоуправление
14,2122,19.11.2015,О назначении членов конкурсной комиссии по проведению конкурса на замещение должности главы администрации ЗАТО Звездный,Постановление №9481-15 от 2015-11-18,Постановление,01.15.   Местное самоуправление
15,395-ПК,27.05.2019,Об образовании нового муниципального образования Александровский муниципальный округ Пермского края,Закон 3701-19 от 2019-05-20,Закон,01.15.   Местное самоуправление
16,396-ПК,27.05.2019,Об образовании нового муниципального образования Березовский муниципальный округ Пермского края,Закон 3686-19 от 2019-05-20,Закон,01.15.   Местное самоуправление
17,423-ПК,20.06.2019,Об образовании нового муниципального образования Гайнский муниципальный округ Пермского края,Закон 4352-19 от 2019-06-10,Закон,01.15.   Местное самоуправление
18,426-ПК,20.06.2019,Об образовании нового муниципального образования Юрлинский муниципальный округ Пермского края,Закон 4369-19 от 2019-06-10,Закон,01.15.   Местное самоуправление
19,425-ПК,20.06.2019,Об образовании нового муниципального образования Кудымкарский муниципальный округ Пермского края,Закон 4388-19 от 2019-06-10,Закон,01.15.   Местное самоуправление
20,429-ПК,20.06.2019,Об образовании нового муниципального образования Косинский муниципальный округ Пермского края,Закон 4707-19 от 2019-06-19,Закон,01.15.   Местное самоуправление
21,2345,19.05.2016,О состоянии местного самоуправления и развитии муниципальных образований в Пермском крае в 2015 году,Постановление №3706-16 от 2016-05-05,Постановление,01.15.   Местное самоуправление
22,174,15.12.2016,"О внесении изменений в постановление Законодательного Собрания Пермского края от 16.06.2011 № 2724 ""О конкурсах представительных органов муниципальных районов и городских округов Пермского края""",Постановление №9119-16 от 2016-11-18,Постановление,01.15.   Местное самоуправление
23,211-ПК,26.03.2018,О преобразовании Краснокамского городского поселения в Краснокамский городской округ,Закон 1288-18 от 2018-02-16,Закон,01.15.   Местное самоуправление
24,212-ПК,26.03.2018,О преобразовании Чайковского городского поселения в Чайковский городской округ,Закон 1373-18 от 2018-02-20,Закон,01.15.   Местное самоуправление
25,243-ПК,28.05.2018,Об образовании нового муниципального образования Карагайское сельское поселение,Закон 3896-18 от 2018-05-22,Закон,01.15.   Местное самоуправление
26,238-ПК,28.05.2018,Об образовании нового муниципального образования Аспинское сельское поселение,Закон 3174-18 от 2018-04-23,Закон,01.15.   Местное самоуправление
27,475-ПК,05.11.2019,Об образовании нового муниципального образования Еловский муниципальный округ Пермского края,Закон 7031-19 от 2019-09-23,Закон,01.15.   Местное самоуправление
28,474-ПК,05.11.2019,Об образовании нового муниципального образования Бардымский муниципальный округ Пермского края,Закон 7060-19 от 2019-09-25,Закон,01.15.   Местное самоуправление
29,237-ПК,28.05.2018,"О преобразовании поселений, входящих в состав Чайковского муниципального района, путем объединения с Чайковским городским округом и о внесении изменений в Закон Пермского края ""О преобразовании Чайковского городского поселения в Чайковский городской округ""",Закон 3126-18 от 2018-04-20,Закон,01.15.   Местное самоуправление
30,233-ПК,28.05.2018,"О преобразовании поселений, входящих в состав Горнозаводского муниципального района, путем объединения с Горнозаводским городским округом и о внесении изменений в Закон Пермского края ""О преобразовании Горнозаводского городского поселения в Горнозаводский городской округ""",Закон 3484-18 от 2018-05-08,Закон,01.15.   Местное самоуправление
31,1318,19.06.2014,О состоянии местного самоуправления и развитии муниципальных образований в Пермском крае в 2013 году,Постановление №3936-14 от 2014-06-09,Постановление,01.15.   Местное самоуправление
32,488-ПК,28.11.2019,Об образовании нового муниципального образования Кишертский муниципальный округ Пермского края,Закон 8075-19 от 2019-10-28,Закон,01.15.   Местное самоуправление
33,,,"О внесении изменений в Закон Пермского края ""О порядке формирования представительных органов муниципальных образований Пермского края и порядке избрания глав муниципальных образований Пермского края""",Закон 7887-16 от 2016-10-14,Закон,01.15.   Местное самоуправление
34,456-ПК,01.10.2019,"О внесении изменений в Закон Пермского края ""Об образовании нового муниципального образования Верещагинский городской округ""",Закон 5397-19 от 2019-07-25,Закон,01.15.   Местное самоуправление
35,,,"О внесении изменений в Закон Пермского края ""О наделении органов местного самоуправления государственными полномочиями Пермского края по созданию и организации деятельности административных комиссий""",Закон 2565-17 от 2017-04-03,Закон,01.15.   Местное самоуправление
36,252-ПК,21.06.2018,"О преобразовании поселений, входящих в состав Усольского муниципального района, путем объединения с муниципальным образованием ""Город Березники""",Закон 4057-18 от 2018-05-25,Закон,01.15.   Местное самоуправление
37,297-ПК,01.11.2018,"О внесении изменений в Закон Пермского края от 28.05.2018 № 234-ПК ""О преобразовании поселений, входящих в состав Краснокамского муниципального района, путем объединения с Краснокамским  городским округом и о внесении изменений в Закон Пермского края ""О преобразовании Краснокамского городского поселения в Краснокамский городской округ""",Закон 6441-18 от 2018-08-31,Закон,01.15.   Местное самоуправление
38,360-ПК,23.02.2019,"О внесении изменений в Закон Пермского края ""Об образовании нового муниципального образования Судинское сельское поселение""",Закон 527-19 от 2019-01-24,Закон,01.15.   Местное самоуправление
39,357-ПК,23.02.2019,Об образовании нового муниципального образования Чернушинский городской округ,Закон 467-19 от 2019-01-22,Закон,01.15.   Местное самоуправление
40,241-ПК,28.05.2018,Об образовании нового муниципального образования Калининское сельское поселение,Закон 3576-18 от 2018-05-11,Закон,01.15.   Местное самоуправление
41,356-ПК,23.02.2019,Об образовании нового муниципального образования Осинский городской округ,Закон 403-19 от 2019-01-18,Закон,01.15.   Местное самоуправление
42,355-ПК,23.02.2019,Об образовании нового муниципального образования Верещагинский городской округ,Закон 9996-18 от 2018-12-28,Закон,01.15.   Местное самоуправление
43,799,24.05.2018,О состоянии местного самоуправления и развитии муниципальных образований Пермского края в 2017 году,Постановление №3639-18 от 2018-05-15,Постановление,01.15.   Местное самоуправление
44,371-ПК,25.03.2019,Об образовании нового муниципального образования Красновишерский городской округ,Закон 1370-19 от 2019-02-21,Закон,01.15.   Местное самоуправление
45,863,21.06.2018,О состоянии местного самоуправления и развитии муниципальных образований Пермского края в 2017 году,Постановление №4409-18 от 2018-06-09,Постановление,01.15.   Местное самоуправление
46,359-ПК,23.02.2019,"О внесении изменений в Закон Пермского края ""Об образовании нового муниципального образования Аспинское сельское поселение""",Закон 528-19 от 2019-01-24,Закон,01.15.   Местное самоуправление
47,358-ПК,23.02.2019,Об образовании нового муниципального образования Суксунский городской округ,Закон 697-19 от 2019-01-31,Закон,01.15.   Местное самоуправление
48,369-ПК,25.03.2019,Об образовании нового муниципального образования Добрянский городской округ,Закон 1246-19 от 2019-02-18,Закон,01.15.   Местное самоуправление
49,370-ПК,25.03.2019,Об образовании нового муниципального образования Ильинский городской округ,Закон 1362-19 от 2019-02-20,Закон,01.15.   Местное самоуправление
50,386-ПК,25.04.2019,Об образовании нового муниципального образования Нытвенский городской округ,Закон 1393-19 от 2019-02-21,Закон,01.15.   Местное самоуправление
