,file,content,category
0,"О внесении изменения в статью 1 Закона Пермского края ""О регулировании отдельных отношений, связанных с адвокатской деятельностью и адвокатурой на территории Пермского края""","              ЗАКОН  ПЕРМСКОГО  КРАЯ О внесении изменения в статью 1 Закона Пермского края «О регулировании отдельных отношений, связанных с адвокатской деятельностью и адвокатурой на территории Пермского края» Принят Законодательным Собранием Пермского края 17 февраля 2022 года Статья 1  Внести в статью 1 Закона Пермского края от 12.10.2007 № 118-ПК «О регулировании отдельных отношений, связанных с адвокатской деятельностью и адвокатурой на территории Пермского края» (Собрание законодательства Пермского края, 30.11.2007, № 11; газета «Звезда», 17.02.2009 (сообщение); Бюллетень законов Пермского края, правовых актов губернатора Пермского края, Правительства Пермского края, исполнительных органов государственной власти Пермского края, 29.03.2010, № 12; 19.11.2012, № 46; 13.10.2014, № 40, часть I; 14.06.2021, № 24, том 1; 13.09.2021, № 37; Официальный интернет-портал правовой информации (www.pravo.gov.ru), 07.06.2021; 09.09.2021) следующее изменение: пункт «д» части 4 изложить в следующей редакции: «д) сведения о трудовой деятельности, оформленные в установленном законодательством порядке, и (или) копия трудовой книжки или иных документов, подтверждающих стаж работы по юридической специальности;». Статья 2  Настоящий Закон вступает в силу через десять дней после дня его официального опубликования. Губернатор Пермского края Д.Н.Махонин 09.03.2022",19. Прокуратура. Органы юстиции. Адвокатура
1,"О внесении изменения в часть 2 статьи 4 Закона Пермского края ""О финансовом обеспечении в связи с отдельными видами преобразования муниципальных образований в Пермском крае""","  ЗАКОН  ПЕРМСКОГО  КРАЯ О внесении изменения в часть 2 статьи 4 Закона Пермского края «О финансовом обеспечении в связи с отдельными видами преобразования муниципальных образований в Пермском крае» Принят Законодательным Собранием Пермского края 20 января 2022 года Статья 1 Внести в часть 2 статьи 4 Закона Пермского края от 28.02.2018 № 191-ПК «О финансовом обеспечении в связи с отдельными видами преобразования муниципальных образований в Пермском крае» (Бюллетень законов Пермского края, правовых актов губернатора Пермского края, Правительства Пермского края, исполнительных органов государственной власти Пермского края, 05.03.2018, № 9; 08.10.2018, № 39; 04.03.2019, № 8; 14.10.2019, № 40; 30.11.2020, № 48; 08.03.2021, № 10; Официальный интернет-портал правовой информации (www.pravo.gov.ru), 02.03.2018; 03.10.2018; 01.03.2019; 10.10.2019; 27.11.2020; 03.03.2021) следующее изменение: дополнить абзацем следующего содержания: «главы городского и муниципального округа, первого заместителя и заместителя главы городского и муниципального округа, первого заместителя и заместителя главы администрации городского и муниципального округа». Статья 2  Настоящий Закон вступает в силу через десять дней после дня его официального опубликования. Губернатор Пермского края Д.Н.Махонин 02.02.2022   № 41-ПК",08. Финансы
2,О внесении изменений в отдельные законы Пермского края,"ЗАКОН  ПЕРМСКОГО  КРАЯ О внесении изменений в отдельные законы Пермского края Принят Законодательным Собранием Пермского края 17 февраля 2022 года Статья 1 Внести в Закон Пермского края от 28.06.2012 № 68-ПК «О выборах губернатора Пермского края» (Бюллетень законов Пермского края, правовых актов губернатора Пермского края, Правительства Пермского края, исполнительных органов государственной власти Пермского края, 02.07.2012, № 26; 18.02.2013, № 6; 18.11.2013, № 45; 08.06.2015, № 22; 15.05.2017, № 19; 17.12.2018, № 49; 10.06.2019, № 22, том 1; 17.02.2020, № 7; 27.04.2020, № 17; 01.06.2020, № 22; 14.06.2021, № 24, том 1; Официальный интернет-портал правовой информации (www.pravo.gov.ru), 05.06.2015; 12.05.2017; 17.12.2018; 05.06.2019; 11.02.2020; 23.04.2020; 28.05.2020; 07.06.2021) следующие изменения: 1. Статью 3 дополнить частью 6.4 следующего содержания: «6.4. Не имеют права быть избранными граждане Российской Федерации, причастные к деятельности общественного или религиозного объединения, иной организации, в отношении которых вступило в законную силу решение суда о ликвидации или запрете деятельности по основаниям, предусмотренным Федеральным законом от 25 июля 2002 года № 114-ФЗ «О противодействии экстремистской деятельности» либо Федеральным законом от 6 марта 2006 года № 35-ФЗ «О противодействии терроризму» (далее – решение суда о ликвидации или запрете деятельности экстремистской или террористической организации). Данное ограничение распространяется на лиц, являвшихся учредителем, членом коллегиального руководящего органа, руководителем, заместителем руководителя, руководителем регионального или другого структурного подразделения, заместителем руководителя регионального или другого структурного подразделения, участником, членом, работником экстремистской или террористической организации или иным лицом, причастным к деятельности экстремистской или террористической организации, в срок, начинающийся за три года до дня вступления в законную силу решения суда о ликвидации или запрете деятельности экстремистской или террористической организации – для учредителя, члена коллегиального руководящего органа, руководителя, заместителя руководителя, руководителя регионального или другого структурного подразделения, заместителя руководителя регионального или другого структурного подразделения, за один год до дня вступления в законную силу решения суда о ликвидации или запрете деятельности экстремистской или террористической организации – для участника, члена, работника экстремистской или террористической организации и иного лица, причастного к деятельности экстремистской или террористической организации, а также после вступления в законную силу указанного решения суда. Положения настоящей части распространяются на участников, членов, работников экстремистской или террористической организации и иных лиц, в действиях которых вступившим в законную силу решением суда установлена причастность к деятельности экстремистской или террористической организации: непосредственная реализация целей и (или) форм деятельности (в том числе отдельных мероприятий), в связи с которыми соответствующая организация была признана экстремистской или террористической, и (или) выражение поддержки высказываниями, включая высказывания в сети «Интернет», либо иными действиями (предоставление денежных средств, имущественной, организационно-методической, консультативной или иной помощи) тем целям и (или) формам деятельности (в том числе отдельным мероприятиям) соответствующей организации, в связи с которыми она была признана экстремистской или террористической. Лица, являвшиеся учредителем, членом коллегиального руководящего органа, руководителем, заместителем руководителя, руководителем регионального или другого структурного подразделения, заместителем руководителя регионального или другого структурного подразделения экстремистской или террористической организации, не могут быть избраны до истечения пяти лет со дня вступления в законную силу решения суда о ликвидации или запрете деятельности экстремистской или террористической организации. Лица, являвшиеся участником, членом, работником экстремистской или террористической организации или иным лицом, причастным к деятельности экстремистской или террористической организации, не могут быть избраны до истечения трех лет со дня вступления в законную силу решения суда о ликвидации или запрете деятельности экстремистской или террористической организации.». 2. В первом предложении части 2 статьи 12 слова «муниципальных районов, городских округов, внутригородских территорий городов федерального значения, поселений (далее – главы местных администраций)» исключить. 3. Часть 6.1 статьи 48 изложить в следующей редакции: «6.1. Закупки товаров, работ, услуг, связанных с подготовкой и проведением выборов губернатора Пермского края, осуществляются избирательной комиссией Пермского края или по ее решению соответствующими нижестоящими комиссиями в соответствии с Федеральным законом от 5 апреля 2013 года № 44-ФЗ «О контрактной системе в сфере закупок товаров, работ, услуг для обеспечения государственных и муниципальных нужд», а в части отношений, к которым указанный Федеральный закон не применяется, – в соответствии с Гражданским кодексом Российской Федерации.». Статья 2 Внести в Закон Пермского края от 11.05.2011 № 766-ПК «О выборах депутатов Законодательного Собрания Пермского края» (Бюллетень законов Пермского края, правовых актов губернатора Пермского края, Правительства Пермского края, исполнительных органов государственной власти Пермского края, 16.05.2011, № 19; 04.07.2011, № 26; 16.07.2012, № 28; 18.02.2013, № 6; 15.06.2015, № 23; 02.05.2016, № 17; 06.06.2016, № 22; 12.12.2016, № 49; 26.06.2017, № 25; 11.02.2019, № 5; 10.06.2019, № 22, том 1; 17.02.2020, № 7; 01.06.2020, № 22; 14.06.2021, № 24, том 1; Официальный интернет-портал правовой информации (www.pravo.gov.ru), 15.06.2015; 28.04.2016; 02.06.2016; 05.12.2016; 23.06.2017; 08.02.2019; 05.06.2019; 11.02.2020; 28.05.2020; 07.06.2021) следующие изменения: 1. Статью 4 дополнить частью 5.4 следующего содержания: «5.4. Не имеют права быть избранными граждане Российской Федерации, причастные к деятельности общественного или религиозного объединения, иной организации, в отношении которых вступило в законную силу решение суда о ликвидации или запрете деятельности по основаниям, предусмотренным Федеральным законом от 25 июля 2002 года № 114-ФЗ «О противодействии экстремистской деятельности» либо Федеральным законом от 6 марта 2006 года № 35-ФЗ «О противодействии терроризму» (далее – решение суда о ликвидации или запрете деятельности экстремистской или террористической организации). Данное ограничение распространяется на лиц, являвшихся учредителем, членом коллегиального руководящего органа, руководителем, заместителем руководителя, руководителем регионального или другого структурного подразделения, заместителем руководителя регионального или другого структурного подразделения, участником, членом, работником экстремистской или террористической организации или иным лицом, причастным к деятельности экстремистской или террористической организации, в срок, начинающийся за три года до дня вступления в законную силу решения суда о ликвидации или запрете деятельности экстремистской или террористической организации – для учредителя, члена коллегиального руководящего органа, руководителя, заместителя руководителя, руководителя регионального или другого структурного подразделения, заместителя руководителя регионального или другого структурного подразделения, за один год до дня вступления в законную силу решения суда о ликвидации или запрете деятельности экстремистской или террористической организации – для участника, члена, работника экстремистской или террористической организации и иного лица, причастного к деятельности экстремистской или террористической организации, а также после вступления в законную силу указанного решения суда. Положения настоящей части распространяются на участников, членов, работников экстремистской или террористической организации и иных лиц, в действиях которых вступившим в законную силу решением суда установлена причастность к деятельности экстремистской или террористической организации: непосредственная реализация целей и (или) форм деятельности (в том числе отдельных мероприятий), в связи с которыми соответствующая организация была признана экстремистской или террористической, и (или) выражение поддержки высказываниями, включая высказывания в сети «Интернет», либо иными действиями (предоставление денежных средств, имущественной, организационно-методической, консультативной или иной помощи) тем целям и (или) формам деятельности (в том числе отдельным мероприятиям) соответствующей организации, в связи с которыми она была признана экстремистской или террористической. Лица, являвшиеся учредителем, членом коллегиального руководящего органа, руководителем, заместителем руководителя, руководителем регионального или другого структурного подразделения, заместителем руководителя регионального или другого структурного подразделения экстремистской или террористической организации, не могут быть избраны до истечения пяти лет со дня вступления в законную силу решения суда о ликвидации или запрете деятельности экстремистской или террористической организации. Лица, являвшиеся участником, членом, работником экстремистской или террористической организации или иным лицом, причастным к деятельности экстремистской или террористической организации, не могут быть избраны до истечения трех лет со дня вступления в законную силу решения суда о ликвидации или запрете деятельности экстремистской или террористической организации.». 2. Во втором предложении части 21 статьи 29 слова «(при этом подлинность подписи кандидата на заявлении в письменной форме должна быть удостоверена нотариально либо администрацией стационарного лечебно-профилактического учреждения, в котором кандидат находится на излечении, администрацией учреждения, в котором содержатся под стражей подозреваемые и обвиняемые в совершении преступлений)» исключить. 3. Часть 12 статьи 52 изложить в следующей редакции: «12. Закупки товаров, работ, услуг, связанных с подготовкой и проведением выборов депутатов Законодательного Собрания, осуществляются избирательной комиссией Пермского края или по ее решению соответствующими нижестоящими избирательными комиссиями в соответствии с Федеральным законом от 5 апреля 2013 года № 44-ФЗ «О контрактной системе в сфере закупок товаров, работ, услуг для обеспечения государственных и муниципальных нужд», а в части отношений, к которым указанный Федеральный закон не применяется, – в соответствии с Гражданским кодексом Российской Федерации.». Статья 3  Внести в Закон Пермского края от 29.11.2012 № 118-ПК «О референдуме Пермского края» (Бюллетень законов Пермского края, правовых актов губернатора Пермского края, Правительства Пермского края, исполнительных органов государственной власти Пермского края, 03.12.2012, № 48; 18.11.2013, № 45; 15.06.2015, № 23; 11.02.2019, № 5; 10.06.2019, № 22, том 1; 17.02.2020, № 7; 01.06.2020, № 22; 14.06.2021, № 24, том 1; Официальный интернет-портал правовой информации (www.pravo.gov.ru), 15.06.2015; 08.02.2019; 05.06.2019; 11.02.2020; 28.05.2020; 07.06.2021) следующее изменение: часть 7.1 статьи 49 изложить в следующей редакции: «7.1. Закупки товаров, работ, услуг, связанных с подготовкой и проведением референдума Пермского края, осуществляются избирательной комиссией Пермского края или по ее решению соответствующими нижестоящими комиссиями в соответствии с Федеральным законом от 5 апреля 2013 года № 44-ФЗ «О контрактной системе в сфере закупок товаров, работ, услуг для обеспечения государственных и муниципальных нужд», а в части отношений, к которым указанный Федеральный закон не применяется, – в соответствии с Гражданским кодексом Российской Федерации.». Статья 4 Внести в Закон Пермского края от 13.03.2008 № 208-ПК «О выборах должностных лиц муниципальных образований в Пермском крае» (Собрание законодательства Пермского края, 30.04.2008, № 4; Бюллетень законов Пермского края, правовых актов губернатора Пермского края, Правительства Пермского края, исполнительных органов государственной власти Пермского края, 08.02.2010, № 5; 28.06.2010, № 25; 06.12.2010, № 48; 19.09.2011, № 37; 16.07.2012, № 28; 18.02.2013, № 6; 17.03.2014, № 10; 23.06.2014, № 24; 13.01.2016, № 1, часть I; 10.04.2017, № 14; 10.06.2019, № 22, том 1; 17.02.2020, № 7; 01.06.2020, № 22; 14.06.2021, № 24, том 1; Официальный интернет-портал правовой информации (www.pravo.gov.ru), 30.12.2015; 07.04.2017; 05.06.2019; 11.02.2020; 28.05.2020; 07.06.2021) следующие изменения: 1. Статью 4 дополнить частью 5.4 следующего содержания: «5.4. Не имеют права быть избранными граждане Российской Федерации, причастные к деятельности общественного или религиозного объединения, иной организации, в отношении которых вступило в законную силу решение суда о ликвидации или запрете деятельности по основаниям, предусмотренным Федеральным законом от 25 июля 2002 года № 114-ФЗ «О противодействии экстремистской деятельности» либо Федеральным законом от 6 марта 2006 года № 35-ФЗ «О противодействии терроризму» (далее – решение суда о ликвидации или запрете деятельности экстремистской или террористической организации). Данное ограничение распространяется на лиц, являвшихся учредителем, членом коллегиального руководящего органа, руководителем, заместителем руководителя, руководителем регионального или другого структурного подразделения, заместителем руководителя регионального или другого структурного подразделения, участником, членом, работником экстремистской или террористической организации или иным лицом, причастным к деятельности экстремистской или террористической организации, в срок, начинающийся за три года до дня вступления в законную силу решения суда о ликвидации или запрете деятельности экстремистской или террористической организации – для учредителя, члена коллегиального руководящего органа, руководителя, заместителя руководителя, руководителя регионального или другого структурного подразделения, заместителя руководителя регионального или другого структурного подразделения, за один год до дня вступления в законную силу решения суда о ликвидации или запрете деятельности экстремистской или террористической организации – для участника, члена, работника экстремистской или террористической организации и иного лица, причастного к деятельности экстремистской или террористической организации, а также после вступления в законную силу указанного решения суда. Положения настоящей части распространяются на участников, членов, работников экстремистской или террористической организации и иных лиц, в действиях которых вступившим в законную силу решением суда установлена причастность к деятельности экстремистской или террористической организации: непосредственная реализация целей и (или) форм деятельности (в том числе отдельных мероприятий), в связи с которыми соответствующая организация была признана экстремистской или террористической, и (или) выражение поддержки высказываниями, включая высказывания в сети «Интернет», либо иными действиями (предоставление денежных средств, имущественной, организационно-методической, консультативной или иной помощи) тем целям и (или) формам деятельности (в том числе отдельным мероприятиям) соответствующей организации, в связи с которыми она была признана экстремистской или террористической. Лица, являвшиеся учредителем, членом коллегиального руководящего органа, руководителем, заместителем руководителя, руководителем регионального или другого структурного подразделения, заместителем руководителя регионального или другого структурного подразделения экстремистской или террористической организации, не могут быть избраны до истечения пяти лет со дня вступления в законную силу решения суда о ликвидации или запрете деятельности экстремистской или террористической организации. Лица, являвшиеся участником, членом, работником экстремистской или террористической организации или иным лицом, причастным к деятельности экстремистской или террористической организации, не могут быть избраны до истечения трех лет со дня вступления в законную силу решения суда о ликвидации или запрете деятельности экстремистской или террористической организации.». 2. Часть 8 статьи 50 изложить в следующей редакции: «8. Закупки товаров, работ, услуг, связанных с подготовкой и проведением выборов должностных лиц, осуществляются организующей соответствующие выборы комиссией или по ее решению соответствующими нижестоящими комиссиями в соответствии с Федеральным законом от 5 апреля 2013 года № 44-ФЗ «О контрактной системе в сфере закупок товаров, работ, услуг для обеспечения государственных и муниципальных нужд», а в части отношений, к которым указанный Федеральный закон не применяется, – в соответствии с Гражданским кодексом Российской Федерации.». Статья 5 Внести в Закон Пермского края от 09.11.2009 № 525-ПК «О выборах депутатов представительных органов муниципальных образований в Пермском крае» (Бюллетень законов Пермского края, правовых актов губернатора Пермского края, Правительства Пермского края, исполнительных органов государственной власти Пермского края, 16.11.2009, № 45; 28.06.2010, № 25; 06.12.2010, № 48; 02.05.2011, № 17; 08.08.2011, № 31 (сообщение); 19.09.2011, № 37; 16.07.2012, № 28; 18.02.2013, № 6; 17.03.2014, № 10 (сообщение); 23.06.2014, № 24; 14.07.2014, № 27; 01.06.2015, № 21; 06.06.2016, № 22; 20.06.2016, № 24; 20.03.2017, № 11; 12.06.2017, № 23; 25.12.2017, № 51; 11.02.2019, № 5; 10.06.2019, № 22, том 1; 17.02.2020, № 7; 01.06.2020, № 22; 14.06.2021, № 24, том 1; Официальный интернет-портал правовой информации (www.pravo.gov.ru), 01.06.2015; 03.06.2016; 16.06.2016; 13.03.2017; 08.06.2017; 26.12.2017; 08.02.2019; 05.06.2019; 11.02.2020; 28.05.2020; 07.06.2021) следующие изменения: 1. Статью 4 дополнить частью 4.4 следующего содержания: «4.4. Не имеют права быть избранными граждане Российской Федерации, причастные к деятельности общественного или религиозного объединения, иной организации, в отношении которых вступило в законную силу решение суда о ликвидации или запрете деятельности по основаниям, предусмотренным Федеральным законом от 25 июля 2002 года № 114-ФЗ «О противодействии экстремистской деятельности» либо Федеральным законом от 6 марта 2006 года № 35-ФЗ «О противодействии терроризму» (далее – решение суда о ликвидации или запрете деятельности экстремистской или террористической организации). Данное ограничение распространяется на лиц, являвшихся учредителем, членом коллегиального руководящего органа, руководителем, заместителем руководителя, руководителем регионального или другого структурного подразделения, заместителем руководителя регионального или другого структурного подразделения, участником, членом, работником экстремистской или террористической организации или иным лицом, причастным к деятельности экстремистской или террористической организации, в срок, начинающийся за три года до дня вступления в законную силу решения суда о ликвидации или запрете деятельности экстремистской или террористической организации – для учредителя, члена коллегиального руководящего органа, руководителя, заместителя руководителя, руководителя регионального или другого структурного подразделения, заместителя руководителя регионального или другого структурного подразделения, за один год до дня вступления в законную силу решения суда о ликвидации или запрете деятельности экстремистской или террористической организации – для участника, члена, работника экстремистской или террористической организации и иного лица, причастного к деятельности экстремистской или террористической организации, а также после вступления в законную силу указанного решения суда. Положения настоящей части распространяются на участников, членов, работников экстремистской или террористической организации и иных лиц, в действиях которых вступившим в законную силу решением суда установлена причастность к деятельности экстремистской или террористической организации: непосредственная реализация целей и (или) форм деятельности (в том числе отдельных мероприятий), в связи с которыми соответствующая организация была признана экстремистской или террористической, и (или) выражение поддержки высказываниями, включая высказывания в сети «Интернет», либо иными действиями (предоставление денежных средств, имущественной, организационно-методической, консультативной или иной помощи) тем целям и (или) формам деятельности (в том числе отдельным мероприятиям) соответствующей организации, в связи с которыми она была признана экстремистской или террористической. Лица, являвшиеся учредителем, членом коллегиального руководящего органа, руководителем, заместителем руководителя, руководителем регионального или другого структурного подразделения, заместителем руководителя регионального или другого структурного подразделения экстремистской или террористической организации, не могут быть избраны до истечения пяти лет со дня вступления в законную силу решения суда о ликвидации или запрете деятельности экстремистской или террористической организации. Лица, являвшиеся участником, членом, работником экстремистской или террористической организации или иным лицом, причастным к деятельности экстремистской или террористической организации, не могут быть избраны до истечения трех лет со дня вступления в законную силу решения суда о ликвидации или запрете деятельности экстремистской или террористической организации.». 2. Часть 6 статьи 55 изложить в следующей редакции: «6. Закупки товаров, работ, услуг, связанных с подготовкой и проведением выборов, осуществляются организующей соответствующие выборы комиссией или по ее решению соответствующими нижестоящими комиссиями в соответствии с Федеральным законом от 5 апреля 2013 года № 44-ФЗ «О контрактной системе в сфере закупок товаров, работ, услуг для обеспечения государственных и муниципальных нужд», а в части отношений, к которым указанный Федеральный закон не применяется, – в соответствии с Гражданским кодексом Российской Федерации.». Статья 6 Внести в Закон Пермского края от 14.08.2007 № 86-ПК «О местном референдуме в Пермском крае» (Собрание законодательства Пермского края, 28.09.2007, № 9; Бюллетень законов Пермского края, правовых актов губернатора Пермского края, Правительства Пермского края, исполнительных органов государственной власти Пермского края, 12.10.2009, № 40; 19.09.2011, № 37; 11.02.2013, № 5; 01.07.2013, № 25 (сообщение); 16.12.2013, № 49; 15.06.2015, № 23; 12.06.2017, № 23; 25.12.2017, № 51; 11.02.2019, № 5; 10.06.2019, № 22, том 1; 17.02.2020, № 7; 01.06.2020, № 22; 14.06.2021, № 24, том 1; Официальный интернет-портал правовой информации (www.pravo.gov.ru), 15.06.2015; 08.06.2017; 26.12.2017; 08.02.2019; 05.06.2019; 11.02.2020; 28.05.2020; 07.06.2021 следующее изменение: часть 7 статьи 48 изложить в следующей редакции: «7. Закупки товаров, работ, услуг, связанных с подготовкой и проведением местного референдума, осуществляются организующей соответствующий референдум комиссией или по ее решению соответствующими нижестоящими комиссиями в соответствии с Федеральным законом от 5 апреля 2013 года № 44-ФЗ «О контрактной системе в сфере закупок товаров, работ, услуг для обеспечения государственных и муниципальных нужд», а в части отношений, к которым указанный Федеральный закон не применяется, – в соответствии с Гражданским кодексом Российской Федерации.». Статья 7 Внести в Закон Пермского края от 09.10.2009 № 493-ПК «О голосовании по вопросам изменения границ муниципального образования, преобразования муниципального образования в Пермском крае» (Бюллетень законов Пермского края, правовых актов губернатора Пермского края, Правительства Пермского края, исполнительных органов государственной власти Пермского края, 19.10.2009, № 41; 07.06.2010, № 22; 15.06.2015, № 23; 25.12.2017, № 51; 11.02.2019, № 5; 10.06.2019, № 22, том 1; 17.02.2020, № 7; 01.06.2020, № 22; 14.06.2021, № 24, том 1;  Официальный интернет-портал правовой информации (www.pravo.gov.ru), 15.06.2015; 26.12.2017; 08.02.2019; 05.06.2019; 11.02.2020; 28.05.2020; 07.06.2021 следующее изменение:  часть 7 статьи 38 изложить в следующей редакции: «7. Закупки товаров, работ, услуг, связанных с подготовкой и проведением голосования, осуществляются организующей соответствующее голосование комиссией или по ее решению соответствующими нижестоящими комиссиями в соответствии с Федеральным законом от 5 апреля 2013 года № 44-ФЗ «О контрактной системе в сфере закупок товаров, работ, услуг для обеспечения государственных и муниципальных нужд», а в части отношений, к которым указанный Федеральный закон не применяется, – в соответствии с Гражданским кодексом Российской Федерации.». Статья 8 1. Настоящий Закон вступает в силу через десять дней после дня его официального опубликования. 2. Действие части 3 статьи 1, части 3 статьи 2, статьи 3, части 2 статьи 4, части 2 статьи 5, статей 6, 7 настоящего Закона распространяется на правоотношения, возникшие с 1 января 2022 года. Губернатор Пермского края Д.Н.Махонин 03.03.2022   № 53-ПК",01.08.   Референдум. Выборы. Избирательная система
